French,English,GERMAN,SPANISH
de,of,von,de
je,I,ICH,I
est,East,Ost,Este
pas,not,nicht,no
le,THE,DER,EL
vous,YOU,DU,TÚ
la,there,Dort,allá
que,that,Das,eso
un,A,A,A
il,he,Er,él
et,And,Und,Y
Ã ,has,hat,tiene
a,has,hat,tiene
ne,born,geboren,nacido
les,THE,DER,EL
ce,This,Das,Este
en,in,In,en
on,we,Wir,nosotros
Ã§a,That,Das,Eso
une,a,A,a
ai,have,haben,tener
pour,For,FÃ¼r,Para
des,of the,des,del
moi,Me,Mich,A mí
qui,Who,WHO,OMS
nous,We,Wir,Nosotros
mais,but,Aber,pero
y,Y,Y,Y
me,me,Mich,a mí
dans,In,In,En
du,of,von,de
bien,GOOD,GUT,BIEN
elle,She,Sie,Ella
si,if,Wenn,si
tout,All,Alle,Todo
plus,more,mehr,más
non,No,NEIN,No
mon,My,Mein,Mi
suis,am,Bin,soy
te,you,Du,tú
au,At,Bei,En
avec,with,mit,con
oui,Yes,Ja,Sí
va,go,gehen,ir
toi,You,Du,Tú
fait,do,Tun,hacer
ils,they,Sie,ellos
as,AS,ALS,COMO
Ãªtre,be,Sei,ser
faire,TO DO,MACHEN,HACER
se,se,se,SE
comme,as,als,como
Ã©tait,was,War,era
sur,on,An,en
quoi,What,Was,Qué
ici,here,Hier,aquí
sais,know,wissen,saber
lui,him,ihn,a él
veux,want,wollen,desear
ma,my,Mein,mi
lÃ ,there,Dort,allá
rien,Nothing,Nichts,Nada
dit,said,sagte,dicho
es,es,es,cepalle
oÃ¹,Or,Oder,O
votre,your,dein,su
pourquoi,Why,Warum,Por qué
sont,are,Sind,son
cette,this,Das,este
quand,When,Wann,Cuando
par,by,von,por
son,her,ihr,su
ton,your,dein,su
peux,can,dÃ¼rfen,poder
alors,SO,ALSO,ENTONCES
dire,say,sagen,decir
vais,go,gehen,ir
comment,how,Wie,cómo
avez,have,haben,tener
bon,Good,Gut,Bien
ou,Or,Oder,O
trÃ¨s,very,sehr,muy
mÃªme,even,sogar,incluso
merci,THANKS,DANKE,GRACIAS
ont,have,haben,tener
jamais,Never,Niemals,Nunca
aussi,Also,Auch,También
chose,thing,Ding,cosa
voir,see,sehen,ver
allez,Go on,Mach weiter,Seguir
tous,all,alle,todo
ces,these,diese,estos
deux,two,zwei,dos
sa,her,ihr,su
faut,must,muss,debe
Ã©tÃ©,summer,Sommer,verano
Ãªtes,are,Sind,son
ta,your,dein,su
avoir,to have,haben,tener
fais,do ,Tun,hacer
peut,can,dÃ¼rfen,poder
autre,other,andere,otro
maintenant,NOW,JETZT,AHORA
encore,Again,Wieder,De nuevo
peu,little,wenig,pequeño
vraiment,Really,Wirklich,En realidad
m,M,M,METRO
mes,my,Mein,mi
temps,time,Zeit,tiempo
toujours,always,stets,siempre
notre,OUR,UNSER,NUESTRO
vie,life,Leben,vida
oh,Oh,Oh,Oh
juste,just,Nur,justo
sans,without,ohne,sin
avait,had,hatte,tenía
quelque,some,manche,alguno
monde,world,Welt,mundo
accord,agreement,Vereinbarung,acuerdo
vu,seen,gesehen,visto
fois,times,mal,veces
aller,go,gehen,ir
trop,too much,zu viel,demasiado
viens,come,kommen,venir
crois,believe,glauben,creer
dois,must,muss,debe
pÃ¨re,father,Vater,padre
dieu,God,Gott,Dios
homme,man,Mann,hombre
sÃ»r,on,An,en
aux,to,Zu,a
leur,their,ihre,su
avant,Before,Vor,Antes
Ã©tais,is,Ist,es
besoin,need,brauchen,necesidad
femme,women,Frauen,mujer
personne,person,Person,persona
avais,had,hatte,tenía
aime,love,Liebe,amar
chez,at the house of,im Haus von,en la casa de
vrai,TRUE,WAHR,VERDADERO
ans,years,Jahre,años
ses,his,sein,su
mal,wrong,falsch,equivocado
parler,talk,sprechen,hablar
vos,your,dein,su
aprÃ¨s,After,Nach,Después
mort,dead,tot,muerto
ca,That,Das,Eso
eu,eu,EU,UE
veut,wanna,will,querer
parce que,because,Weil,porque
sera,will be,wird sein,será
mieux,better,besser,mejor
bonne,Good,Gut,Bien
petit,little,wenig,pequeño
tes,your ,dein,su
dis,say,sagen,decir
beaucoup,a lot,eine Menge,mucho
monsieur,Sir,Herr,Señor
voilÃ ,There,Dort,Allá
depuis,Since,Seit,Desde
doit,must,muss,debe
mÃ¨re,mother,Mutter,madre
quel,what,Was,qué
vas,go,gehen,ir
vois,see ,sehen,ver
fille,girl,MÃ¤dchen,chica
dÃ©jÃ ,Already,Bereits,Ya
gens,people,Menschen,gente
donc,SO,ALSO,ENTONCES
jour,day,Tag,día
il,he,Er,él
autres,others,Andere,otros
soir,evening,Abend,noche
toute,all,alle,todo
ouais,Yeah,Ja,Sí
argent,money,Geld,dinero
maison,House,Haus,Casa
nom,name,Name,nombre
bonjour,Good morning,Guten Morgen,Buen día
pense,think,denken,pensar
nos,our,unser,nuestro
cela,that,Das,eso
nuit,night,Nacht,noche
avons,have,haben,tener
ii,II,II,II
merde,shit,Scheisse,mierda
cet,this,Das,este
papa,dad,Papa,papá
maman,Mom,Mama,Mamá
reste,stay,bleiben,permanecer
peur,fear,Furcht,miedo
dÃ©solÃ©,Sorry,Entschuldigung,Lo siento
salut,Hi,Hallo,Hola
seul,alone,allein,solo
arrive,arrived,angekommen,llegó
vite,quickly,schnell,rápidamente
prendre,take,nehmen,llevar
regarde,look at,ansehen,mira a
soit,either,entweder,cualquiera
air,air,Luft,aire
quelle,what,Was,qué
passÃ©,pass,passieren,aprobar
trois,three,drei,tres
savoir,know,wissen,saber
plaÃ®t,jail,GefÃ¤ngnis,celda
choses,things,Dinge,cosas
fils,son,Sohn,hijo
ah,ah,Ah,ahorcado
bas,down,runter,abajo
moins,less,weniger,menos
entre,between,zwischen,entre
passe,pass,passieren,aprobar
hÃ©,Hey,Hey,Ey
demain,tomorrow,morgen,mañana
appelle,call,Anruf,llamar
grand,big,groÃ,grande
tÃªte,head,Kopf,cabeza
voulez,want,wollen,desear
faites,do,Tun,hacer
arrÃªte,stopped,gestoppt,interrumpido
hein,eh,Eh,eh
attends,hold on,festhalten,esperar
ok,OK,OK,DE ACUERDO
raison,reason,Grund,razón
enfants,children,Kinder,niños
assez,enough,genug,suficiente
aurais,would have,hÃ¤tte,tendría
elles,they,Sie,ellos
voulais,wanted,gesucht,buscado
sommes,are,Sind,son
jours,days,Tage,días
parle,speak,sprechen,hablar
moment,moment,Moment,momento
amour,love,Liebe,amar
toutes,all,alle,todo
heure,hour,Stunde,hora
puis,Then,Dann,Entonces
tard,late,spÃ¤t,tarde
tuer,kill,tÃ¶ten,matar
eh,eh,Eh,eh
dÃ»,of,von,de
ami,friend,Freund,amigo
petite,small,klein,pequeño
partir,leave,verlassen,dejar
hommes,men,MÃ¤nner,hombres
connais,know,wissen,saber
aider,help,helfen,ayuda
savez,know,wissen,saber
gars,guys,Jungs,tipo
chance,chance,Chance,oportunidad
combien,How much,Wie viel,Cuánto
tant,so much,so viel,mucho
sait,knows,weiÃ,conocido
part,go,gehen,ir
voiture,car,Auto,auto
pris,taken,genommen,tomado
problÃ¨me,issue,Ausgabe,asunto
aujourdâhui,Today,Heute,Hoy
coup,cut,schneiden,cortar
porte,door,TÃ¼r,puerta
serait,would be,wÃ¤re,sería
prends,take,nehmen,llevar
venir,come,kommen,venir
travail,work,arbeiten,trabajar
pu,could,kÃ¶nnte,podría
famille,family,Familie,familia
seule,alone,allein,solo
sens,sense,Sinn,sentido
allons,let's go,lass uns gehen,vamos
putain,whore,Hure,puta
idÃ©e,idea,Idee,idea
ni,neither,weder,ni
contre,against,gegen,contra
revoir,goodbye,Verabschiedung,adiós
entendu,heard,gehÃ¶rt,escuchó
comprends,understand,verstehen,entender
passer,pass,passieren,aprobar
pendant,during,wÃ¤hrend,durante
trouvÃ©,find,finden,encontrar
trouver,find,finden,encontrar
quelques,a few,ein paar,algunos
vient,come,kommen,venir
vieux,old,alt,viejo
aurait,would have,hÃ¤tte,tendría
attention,attention,Aufmerksamkeit,atención
demande,request,Anfrage,pedido
chercher,seek,suchen,buscar
sous,below,unten,abajo
pouvez,can,dÃ¼rfen,poder
voici,here is,hier ist,aquí está
pourrait,could,kÃ¶nnte,podría
sang,blood,Blut,sangre
histoire,history,Geschichte,historia
