French,English
de,of
je,I
est,East
pas,not
le,THE
vous,YOU
la,there
tu,you
que,that
un,A
il,he
et,And
à,has
a,has
ne,born
les,THE
ce,This
en,in
on,we
ça,That
une,a
ai,have
pour,For
des,of the
moi,Me
qui,Who
nous,We
mais,but
y,Y
me,me
dans,In
du,of
bien,GOOD
elle,She
si,if
tout,All
plus,more
non,No
mon,My
suis,am
te,you
au,At
avec,with
oui,Yes
va,go
toi,You
fait,do
ils,they
as,AS
être,be
faire,TO DO
se,se
comme,as
était,was
sur,on
quoi,What
ici,here
sais,know
lui,him
veux,want
ma,my
là,there
rien,Nothing
dit,said
es,es
où,Or
votre,your
pourquoi,Why
sont,are
cette,this
quand,When
par,by
son,her
ton,your
peux,can
alors,SO
dire,say
vais,go
comment,how
avez,have
bon,Good
ou,Or
très,very
même,even
merci,THANKS
ont,have
jamais,Never
aussi,Also
chose,thing
voir,see
allez,Go on
tous,all
ces,these
deux,two
sa,her
faut,must
été,summer
êtes,are
ta,your
avoir,to have
fais,do 
peut,can
autre,other
maintenant,NOW
encore,Again
peu,little
vraiment,Really
m,M
mes,my
temps,time
toujours,always
notre,OUR
vie,life
oh,Oh
juste,just
sans,without
avait,had
quelque,some
monde,world
accord,agreement
vu,seen
fois,times
aller,go
trop,too much
viens,come
crois,believe
dois,must
père,father
dieu,God
homme,man
sûr,on
aux,to
leur,their
avant,Before
étais,is
besoin,need
femme,women
personne,person
avais,had
aime,love
chez,at the house of
vrai,TRUE
ans,years
ses,his
mal,wrong
parler,talk
vos,your
après,After
mort,dead
ca,That
eu,eu
veut,wanna
parce que,because
sera,will be
mieux,better
bonne,Good
petit,little
tes,your 
dis,say
beaucoup,a lot
monsieur,Sir
voilà,There
depuis,Since
doit,must
mère,mother
quel,what
vas,go
vois,see 
fille,girl
déjà,Already
gens,people
donc,SO
jour,day
il,he
autres,others
soir,evening
toute,all
ouais,Yeah
argent,money
maison,House
nom,name
bonjour,Good morning
pense,think
nos,our
cela,that
nuit,night
avons,have
ii,II
merde,shit
cet,this
papa,dad
maman,Mom
reste,stay
peur,fear
désolé,Sorry
salut,Hi
seul,alone
arrive,arrived
vite,quickly
prendre,take
regarde,look at
soit,either
air,air
quelle,what
passé,pass
trois,three
savoir,know
plaît,jail
choses,things
fils,son
ah,ah
bas,down
moins,less
entre,between
passe,pass
hé,Hey
demain,tomorrow
appelle,call
grand,big
tête,head
voulez,want
faites,do
arrête,stopped
hein,eh
attends,hold on
ok,OK
raison,reason
enfants,children
assez,enough
aurais,would have
elles,they
voulais,wanted
sommes,are
jours,days
parle,speak
moment,moment
amour,love
toutes,all
heure,hour
puis,Then
tard,late
tuer,kill
eh,eh
dû,of
ami,friend
petite,small
partir,leave
hommes,men
connais,know
aider,help
savez,know
gars,guys
chance,chance
combien,How much
tant,so much
sait,knows
part,go
voiture,car
pris,taken
problème,issue
aujourd’hui,Today
coup,cut
porte,door
serait,would be
prends,take
venir,come
travail,work
pu,could
famille,family
seule,alone
sens,sense
allons,let's go
putain,whore
idée,idea
ni,neither
contre,against
revoir,goodbye
entendu,heard
comprends,understand
passer,pass
pendant,during
trouvé,find
trouver,find
quelques,a few
vient,come
vieux,old
aurait,would have
attention,attention
demande,request
chercher,seek
sous,below
pouvez,can
voici,here is
pourrait,could
sang,blood
histoire,history
amis,friends
sortir,to go out
question,question
venez,come
rester,stay
frère,brother
ville,city
fini,finished
nouveau,new
eux,them
truc,thing
tiens,hold
yeux,eyes
mois,month
laisse,leave alone
mec,dude
longtemps,a long time
belle,beautiful
police,police
seulement,only
importe,imported
heures,hours
eau,water
car,because
super,great
chaque,each
cas,case
vont,are going
tué,kill
terre,earth
place,place
main,hand
ensemble,together
type,kind
beau,beautiful
pardon,pardon
vers,towards
aucun,none
guerre,war
trouve,find
partie,part
suite,following
prie,pray
devant,in front
compris,Understood
arrivé,arrived
mme,mrs
leurs,their
étaient,were
mettre,put
matin,Morning
aide,help
dessus,above
sois,be
genre,gender
fin,END
perdu,lost
jeune,young
chérie,Dear
premier,first
attendez,wait
enfant,child
donne,given
venu,came
aimerais,would like to
droit,right
côté,side
chambre,bedroom
loin,far
donner,give
devrais,should
laisser,to leave 
feu,fire
jouer,play
ie,ie
train,train
gros,fat
compte,account
s,s
savais,knew
mourir,die
pouvoir,power
regardez,look
parlé,speak
donné,given
première,first
aura,will have
dernière,last
minutes,minutes
aucune,none
mari,husband
enfin,Finally
madame,Mrs
façon,way
devrait,should
mis,put
film,movie
femmes,women
fort,strong
pourrais,could
écoute,listen
pays,country
parti,left
affaire,affair
endroit,place
corps,body
ia,IA
fou,mad
vivre,live
prêt,ready
dont,of which
espère,hope
grande,big
cause,cause
point,point
filles,girls
dehors,out
hier,yesterday
boulot,job
pensais,thought
garçon,boy
près,close
désolée,Sorry
cinq,five
chef,chief
h,h
ainsi,Thus
haut,high
celui,the one
demandé,request
dirait,would say
bébé,baby
possible,possible
école,school
plein,full
mains,hands
années,years
dites,say
nouvelle,new
manger,eat
docteur,doctor
tour,round
croire,believe
ceux,those
quatre,four
plutôt,instead
marche,walk
semaine,week
vérité,truth
envie,envy
capitaine,captain
e,e
arrêter,Stop
affaires,business
bientôt,Soon
vue,view
demander,ask
dernier,last
instant,moment
essaie,try
arriver,arrive
font,make
tellement,such
derrière,behind
tomber,to fall
presque,almost
voulait,wanted to
meilleur,best
numéro,number
dr,DR
journée,daytime
appeler,to call
dollars,dollars
c,vs
attendre,to wait for
confiance,trust
garde,guard
souviens,remember
dur,hard
serai,will be
bureau,desk
voyez,see
abord,on board
important,important
devez,must
ben,ben
peine,penalty
cours,course
fera,will
prend,takes
seigneur,lord
suffit,enough
route,road
cul,ass
ils,they
minute,minute
bonsoir,Good evening
jeu,game
croyais,believed
ferme,farm
plaisir,pleasure
voudrais,would like
heureux,happy
mot,word
musique,music
chien,dog
messieurs,gentlemen
prenez,take
calme,calm
parents,parents
o,o
dedans,inside
fous,crazy
arrêtez,Stop
mariage,marriage
entrer,enter
rentrer,to return
ait,has
lit,bed
voit,sees
autant,as much
reviens,come back
parfait,Perfect
coeur,heart
ceci,this
service,service
téléphone,phone
pauvre,poor
mlle,Miss
attend,waits
drôle,funny
ira,will go
parfois,Sometimes
l,L
retour,back
á,has
verre,glass
pensé,think
six,six
ci,this
impossible,impossible
ferai,will do
aimes,likes
payer,pay
facile,easy
maître,master
new,new
appelé,called
mauvais,bad
général,general
doute,doubt
prison,prison
adore,adore
faute,mistake
entends,hear
oublié,forget
bras,arm
exactement,Exactly
fête,party
café,coffee
chéri,Dear
sors,go outside
gentil,kind
penser,think
vaut,worth
john,john
lieu,place
malade,sick
changer,to change
roi,king
commence,begin
entendre,hear
président,president
travailler,to work
partout,everywhere
cher,Dear
morts,dead
rendre,give back
écrit,writing
équipe,team
joue,plays
i,I
sinon,Otherwise
esprit,spirit
regarder,look
rentre,go home
plan,plan
cœur,heart
veulent,want
montrer,to show
voulu,desired
boire,drink
travaille,work
propre,own
année,year
état,state
soyez,be
bois,drink
cherche,look for
t,t
laissé,leave alone
essayer,to try
dès,of the
semble,seems
ies,ies
jack,jack
dix,ten
faisait,did
génial,awesome
penses,thinking
sécurité,security
tôt,early
mets,put
rêve,dream
armée,army
perdre,lose
d,d
parles,talk
avis,notice
surtout,Above all
difficile,difficult
york,york
dormir,sleep
ensuite,Next
pire,worse 
ecoute,listen
simple,simple
allait,was going to
paix,peace
morte,dead
arme,armed
sujet,subject
retard,delay
voyons,let's see
livre,book
appris,learned
peuvent,can
sale,dirty
serais,would be
souvent,often
an,year
sauf,except
choix,choice
sûrement,certainly
étiez,have been
or,gold
visage,face
ordre,order
comprendre,to understand
essayé,try
noir,black
dîner,dinner
âge,age
chemin,path
changé,exchange
bout,end 
face,face
rue,Street
inquiète,worry
photo,photo
allé,go
personnes,people
sérieux,serious
ciel,sky
honneur,honor
amie,friend
questions,questions
force,strength
j,J
garder,keep
petits,small
tirer,to pull
millions,millions
grave,severe
marché,walk
nouvelles,news
voix,voice
semaines,weeks
pouvais,could
courant,fluent
propos,about
bateau,boat
oublie,forget
con,stupid
celle,that
gauche,LEFT
content,thrilled
prix,price
rouge,red
faim,hunger
ferais,would do
avion,plane
devenir,become
devoir,duty
prochaine,next
restez,Stay
acheter,buy
voyage,journey
sorte,sort
long,long
espèce,species
idiot,silly
gueule,mouth
début,beginning
bouge,move
continue,keep on going
hôpital,hospital
sort,spell
grâce,grace
problèmes,problems
message,message
certains,some
patron boss,boss
sûre,safe
reçu,received
trucs,stuff
avaient,had
ouvre,open
promis,promised
the,tea
oncle,uncle
euh,uh
connaissez,know
laissez,leave
devons,owe
bienvenue,Welcome
occupe,busy
allais,alla
camp,camp
manque,lack
soleil,sun
devait,was to
pars,pars
pouvait,could
cheveux,hair
armes,weapons
pensez,Think
salle,room
croyez,believe
bizarre,weird
gagner,earn
commencé,begin
fond,bottom
sauver,save
pièce,piece
erreur,error
ailleurs,elsewhere
rapport,report
froid,cold
apprendre,learn
scène,scene
secret,secret
sac,bag
seconde,second
cru,believed
allô,Hello
revenir,to come back
battre,beat
hôtel,hotel
soirée,evening
aurai,will have
soeur,sister
pieds,feet
seras,will be
carte,map 
jolie,pretty
n,not
pied,foot
groupe,band
venue,coming
monte,mounted
agent,agent
fallait,had to
effet,effect
libre,free
seront,will be
foutre,cum
bordel,mess
mots,words
neuf,nine
tire,drawn
faux,fake
situation,situation
tue,kill
lumière,light
vieille,old
droite,RIGHT
debout,standing
noël,Christmas
cheval,horse
intérieur,interior
écoutez,Listen
joli,pretty
gagné,won
loi,law
entrez,Come in
auras,aura
incroyable,amazing
lettre,letter
présent,here
occuper,to occupy
connaît,know
absolument,absolutely
aviez,had
dame,lady
professeur,teacher
fric,money
george,George
retrouver,find
coin,corner
table,table
colonel,colonel
âme,soul
dos,back
magnifique,Magnificent
rencontrer,meet
réussi,successful
meilleure,best
rappelle,remember
tranquille,calm
fut,was
chaud,hot
mr,MR
commencer,to start
sœur,sister
agit,act
cool,cool
doucement,gently
pareil,The same
jeunes,youth
joe,joe
